controller,seed,episode_id,ped_id,collision,steps_to_collision,episode_length,avg_speed,drivable_steps,time_on_drivable,stall_steps,min_vehicle_distance
bc_model,4,0,2927,False,,600,0.025929378733227877,0,0.0,552,3.97654128074646
bc_model,4,1,2998,False,,600,1.2687549379968996,67,3.35,128,6.259507656097412
bc_model,4,2,3068,False,,600,1.175991637050419,117,5.8500000000000005,140,1.4343863725662231
bc_model,4,3,3139,False,,600,1.5082046498208768,342,17.1,29,5.710411071777344
bc_model,4,4,3209,False,,600,1.6892590699520822,33,1.6500000000000001,17,8.280110359191895
bc_model,4,5,3279,False,,600,1.7452127049670418,0,0.0,4,14.69532299041748
bc_model,4,6,3347,False,,600,1.0787337574965654,92,4.6000000000000005,204,6.054301738739014
bc_model,4,7,3417,False,,600,1.7757880792936116,219,10.950000000000001,5,7.313216209411621
bc_model,4,8,3487,False,,600,0.015508407027735037,0,0.0,563,11.059835433959961
bc_model,4,9,3557,False,,600,1.5261501873776897,0,0.0,22,11.928747177124023
bc_model,4,10,3628,False,,600,1.710170360543747,0,0.0,34,15.26349925994873
bc_model,4,11,3698,False,,600,1.6367852928271243,361,18.05,6,1.6997824907302856
bc_model,4,12,3769,False,,600,1.6377876899767458,147,7.3500000000000005,27,7.1880974769592285
bc_model,4,13,3840,False,,600,0.863895372511278,0,0.0,299,7.62642240524292
bc_model,4,14,3910,False,,600,0.0163419455426525,0,0.0,570,10.633358001708984
bc_model,4,15,3981,False,,600,1.791104205142722,235,11.75,1,5.380318641662598
bc_model,4,16,4052,False,,600,1.709515795658219,376,18.8,5,5.007292747497559
bc_model,4,17,4122,False,,600,1.4983873834085037,60,3.0,3,8.41189956665039
bc_model,4,18,4192,False,,600,1.2642030591606817,143,7.15,127,8.00124454498291
bc_model,4,19,4262,False,,600,1.7586519109470926,92,4.6000000000000005,2,5.837110996246338
rl_model,0,0,4402,False,,600,1.7297700766885915,140,7.0,62,8.145451545715332
rl_model,0,1,4474,False,,600,1.9590016228401537,353,17.650000000000002,0,4.8330841064453125
rl_model,0,2,4546,False,,600,1.6933497529407235,207,10.350000000000001,0,4.497936725616455
rl_model,0,3,4617,False,,132,1.8985700714275324,48,2.4000000000000004,0,2.445141077041626
rl_model,0,4,4688,False,,600,1.8053664474246371,121,6.050000000000001,0,5.840238094329834
rl_model,0,5,4760,False,,241,1.8996842604778874,133,6.65,0,4.526185035705566
rl_model,0,6,4831,False,,76,1.827107574757253,0,0.0,0,2.414750337600708
rl_model,0,7,4902,False,,600,1.584725306112525,83,4.15,0,6.8155741691589355
rl_model,0,8,4973,False,,81,1.8377021197522077,0,0.0,0,2.4113402366638184
rl_model,0,9,5042,False,,600,1.8123644488543615,60,3.0,1,9.62808609008789
rl_model,0,10,5113,False,,336,1.957683610477062,29,1.4500000000000002,0,2.351130723953247
rl_model,0,11,5185,False,,600,0.9719384399590877,0,0.0,268,13.606001853942871
rl_model,0,12,5256,False,,600,1.9054175636761241,361,18.05,0,5.264150619506836
rl_model,0,13,5327,False,,371,1.9590644411443852,161,8.05,0,2.461988687515259
rl_model,0,14,5399,False,,206,1.6671217687507556,137,6.8500000000000005,0,2.4320430755615234
rl_model,0,15,5471,False,,600,1.59936625661712,184,9.200000000000001,0,6.250204086303711
rl_model,0,16,5540,False,,367,1.6987488648964957,151,7.550000000000001,0,2.435027837753296
rl_model,0,17,5611,False,,600,1.7816853049746617,251,12.55,0,5.830090522766113
rl_model,0,18,5683,False,,414,1.8843570471204985,27,1.35,1,2.460193157196045
rl_model,0,19,5755,False,,335,1.764508945856994,143,7.15,0,2.47841477394104
